B,seed,kappa,delta,alpha,T_eff
16,28,31.68120765686035,0.4925852417945862,0.7080877535606077,3.411116995266639e-05
16,29,62.50520706176758,0.4857032895088196,0.7221573569360151,1.0684667586247087e-06
32,0,16.56696128845215,0.48393380641937256,0.7258071452148344,2.7039877750212327e-06
32,1,45.97806167602539,0.4973928928375244,0.6983750363407195,4.05181399543153e-09
32,2,14.986519813537598,0.49865972995758057,0.6958313197254474,6.929303708602674e-07
32,3,20.91644859313965,0.49464088678359985,0.7039232609475646,3.2066909625427797e-06
32,4,43.26324462890625,0.45152950286865234,0.795114564143312,2.1748255107922887e-07
32,5,16.055679321289062,0.4940156936645508,0.7051879937471001,5.430992587207584e-06
32,6,41.268959045410156,0.48147130012512207,0.730908654660345,7.125448746592156e-07
32,7,14.614885330200195,0.47817784547805786,0.7377725540188815,2.0596530703187454e-06
32,8,29.328224182128906,0.49471384286880493,0.7037757787894453,6.500356448668754e-07
32,9,14.756793975830078,0.4974827766418457,0.6981943427981527,6.74840862302517e-07
32,10,16.060001373291016,0.4842084050178528,0.7252398760624311,1.0261511533826706e-06
32,11,18.184925079345703,0.4864945411682129,0.7205295980393498,3.633479991549393e-06
32,12,18.947526931762695,0.4924773573875427,0.7083067942744962,2.1141381694178563e-06
32,13,16.515033721923828,0.4976158142089844,0.6979269570955611,6.610046511923429e-06
32,14,19.722658157348633,0.4897270202636719,0.7139071446188738,4.009363692603074e-06
32,15,20.387537002563477,0.49086862802505493,0.7115787470186234,2.8664831575042626e-07
32,16,46.8913459777832,0.4946737587451935,0.7038568069397233,9.395084816787858e-07
32,17,12.451601028442383,0.4968563914299011,0.6994542454851147,2.940865215350641e-06
32,18,100.291015625,0.49993014335632324,0.6932869036081073,1.5504076245065335e-08
32,19,16.74735450744629,0.47955605387687683,0.7348944908092908,8.694777307027834e-07
32,20,15.421142578125,0.4928397834300995,0.7075711406582381,1.4953564004827058e-06
32,21,8.098567008972168,0.49948573112487793,0.6941762476181126,4.099258266165862e-09
32,22,21.529726028442383,0.4877823293209076,0.7178860191108575,3.649888071777241e-07
32,23,33.03434753417969,0.49127840995788574,0.7107442854955283,5.653078005707357e-08
32,24,14.64233684539795,0.4852542281150818,0.7230823436992976,1.403985493197979e-06
32,25,13.733002662658691,0.49534547328948975,0.7024998340130683,2.1089462620693666e-08
32,26,12.078292846679688,0.492531418800354,0.70819702588629,1.8196027440353646e-06
32,27,19.112491607666016,0.49020981788635254,0.7129217797607545,5.261808382783784e-06
32,28,14.489263534545898,0.4930855333805084,0.707072624287255,2.4648993530718144e-06
32,29,28.120954513549805,0.49027836322784424,0.7127819609583994,2.2210849692783086e-06
64,0,27.11554527282715,0.496953547000885,0.6992587240528239,5.749922706854704e-07
64,1,5.883227348327637,0.49368172883987427,0.7058642430311306,2.559826239867391e-10
64,2,15.157059669494629,0.4795488119125366,0.7349095923161201,6.812059609728749e-07
64,3,8.845492362976074,0.4763449430465698,0.7416130169315251,1.6862297798070358e-06
64,4,20.17044448852539,0.4837210476398468,0.7262468862693265,7.226942244642487e-08
64,5,8.58552074432373,0.49064522981643677,0.7120339585486309,8.386581384911551e-07
64,6,31.67107582092285,0.49611321091651917,0.7009511304862144,1.4188648478352661e-08
64,7,11.222259521484375,0.49666184186935425,0.6998458831149295,4.207746684414815e-08
64,8,16.605892181396484,0.4873156249523163,0.7188432653078853,6.904086262693454e-07
64,9,17.047048568725586,0.4856799840927124,0.7222053409125668,2.1653228099438593e-09
64,10,10.475566864013672,0.4928601384162903,0.7075298400844173,8.215330922212161e-07
64,11,15.465721130371094,0.4510364830493927,0.7962070490718107,1.1658605671982514e-06
64,12,10.200681686401367,0.4958701431751251,0.701441194649602,1.0409710284875473e-06
64,13,11.406229019165039,0.4839435815811157,0.7257869460411277,1.8160515082854545e-06
64,14,13.677345275878906,0.49023115634918213,0.7128782514640112,8.994273343887471e-07
64,15,23.939590454101562,0.4960496425628662,0.701079271453228,1.7557681530888658e-07
64,16,76.85617065429688,0.499198317527771,0.6947518322695939,5.567448013721332e-08
64,17,28.3769474029541,0.4945269525051117,0.7041536248443001,7.367940497715608e-07
64,18,1.0,0.4943212866783142,0.7045695953069323,3.261151765299175e-11
64,19,35.71458053588867,0.4862273931503296,0.7210788773661024,7.16214003659843e-07
64,20,14.051745414733887,0.49883103370666504,0.6954878503781439,1.0956955520668998e-07
64,21,1.5102252960205078,0.48346057534217834,0.7267855075536362,6.119285633765514e-11
64,22,17.030746459960938,0.47783225774765015,0.7384955332934621,3.3737734383976203e-07
